track_id,age,gender,dresscodestyle,weight,fashionpersonality,disability,location,judgmentcalls,distracted,relativeposition,crossed
V1_14,senior,male,formal,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,waited
V1_25,senior,male,formal,normalweight,minimalist,False,onsidewalk,nohandsignal,yes,middle,waited
V1_27,senior,male,formal,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,far,crossed
V1_32,child,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,far,crossed
V1_34,senior,female,formal,normalweight,minimalist,False,notonsidewalk,handsignal,no,near,waited
V1_35,child,female,casual,normalweight,minimalist,False,onsidewalk,handsignal,no,near,waited
V1_36,adult,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,crossed
V1_37,adult,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,crossed
V1_41,adult,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,far,crossed
V1_5,senior,male,casual,normalweight,minimalist,False,notonsidewalk,handsignal,yes,near,waited
V1_6,senior,male,formal,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,crossed
V1_7,senior,male,formal,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,crossed
V1_8,senior,male,formal,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,crossed
V2_0,adult,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,crossed
V2_12,senior,female,formal,normalweight,minimalist,False,onsidewalk,nohandsignal,no,near,waited
V2_13,adult,female,casual,normalweight,extravagant,False,notonsidewalk,nohandsignal,yes,near,crossed
V2_14,senior,male,formal,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,waited
V2_16,child,male,casual,normalweight,extravagant,False,notonsidewalk,nohandsignal,no,near,crossed
V2_18,adult,male,casual,overweight,extravagant,False,notonsidewalk,handsignal,no,near,waited
V2_5,adult,male,casual,normalweight,extravagant,False,notonsidewalk,nohandsignal,no,near,crossed
V2_6,adult,male,casual,normalweight,extravagant,False,notonsidewalk,nohandsignal,no,middle,crossed
V4_10,child,male,casual,normalweight,minimalist,False,notonsidewalk,handsignal,yes,near,crossed
V4_11,adult,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,yes,near,crossed
V4_14,senior,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,yes,near,waited
V4_15,senior,male,formal,overweight,minimalist,False,notonsidewalk,nohandsignal,yes,near,waited
V4_16,adult,male,casual,overweight,minimalist,False,notonsidewalk,nohandsignal,no,near,waited
V4_17,adult,male,casual,overweight,minimalist,False,notonsidewalk,nohandsignal,no,far,crossed
V4_18,child,male,casual,normalweight,minimalist,False,notonsidewalk,handsignal,no,near,crossed
V4_20,adult,male,casual,normalweight,minimalist,False,onsidewalk,nohandsignal,no,near,waited
V4_21,adult,male,casual,normalweight,minimalist,False,notonsidewalk,handsignal,no,far,crossed
V4_22,adult,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,far,crossed
V4_42,senior,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,waited
V4_43,adult,female,casual,normalweight,extravagant,False,notonsidewalk,handsignal,no,near,waited
V4_44,adult,female,formal,normalweight,minimalist,False,notonsidewalk,handsignal,no,near,waited
V4_45,senior,female,casual,overweight,minimalist,False,notonsidewalk,nohandsignal,no,near,waited
V4_46,adult,female,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,waited
V4_48,senior,male,casual,normalweight,minimalist,False,onsidewalk,handsignal,no,near,crossed
V4_49,adult,male,casual,normalweight,minimalist,False,onsidewalk,handsignal,no,near,crossed
V4_50,senior,female,casual,normalweight,minimalist,False,onsidewalk,handsignal,no,near,crossed
V4_51,adult,female,casual,normalweight,minimalist,False,onsidewalk,handsignal,no,near,crossed
V4_52,adult,female,formal,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,waited
V4_7,adult,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,waited
V4_8,senior,female,formal,normalweight,minimalist,False,notonsidewalk,nohandsignal,no,near,waited
V4_9,senior,male,casual,normalweight,minimalist,False,notonsidewalk,nohandsignal,yes,near,crossed
